currentGeneName,mycancerstudy,mycancername,total,totalcna,cnatotal,amptotal,deltotal,totalamp,totaldel,amptocna,deltocna,P-value,
PHLPP2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
PHLPP2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
WWOX,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
WWOX,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,5,0.95,0.19,0.76,1,4,20,80,0.0374,P<0.05
EMP2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
EMP2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,0.428,
CIITA,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
CIITA,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,0.428,
SOCS1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
SOCS1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,0.428,
TNFRSF17,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
TNFRSF17,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,0.428,
ERCC4,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
